id,name,symbol,category,provided_by
CL:0000084,T cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000097,mast cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000236,B cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000648,kidney granular cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000650,mesangial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000653,podocyte,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000775,neutrophil,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000786,plasma cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000814,mature NK T cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000875,non-classical monocyte,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000890,alternatively activated macrophage,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0000990,conventional dendritic cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0001058,"plasmacytoid dendritic cell, human",,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0002138,endothelial cell of lymphatic vessel,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0002201,renal beta-intercalated cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0002573,Schwann cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:0011031,monocyte-derived dendritic cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000412,endothelial cell of arteriole,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000452,parietal epithelial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000597,papillary tips cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000692,kidney interstitial fibroblast,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000714,kidney cortex collecting duct principal cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000715,kidney cortex collecting duct intercalated cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000716,kidney outer medulla collecting duct principal cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000717,kidney outer medulla collecting duct intercalated cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000718,kidney inner medulla collecting duct principal cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000768,kidney connecting tubule epithelial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1000850,macula densa epithelial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1001005,glomerular capillary endothelial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1001131,vasa recta ascending limb cell,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:1001318,renal interstitial pericyte,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:4030009,epithelial cell of proximal tubule segment 1,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:4030010,epithelial cell of proximal tubule segment 2,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
CL:4030011,epithelial cell of proximal tubule segment 3,,biolink:Cell,https://purl.humanatlas.io/graph/hra-pop
