id,name,symbol,category,provided_by
HGNC:10002,RGS6,RGS6,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10249,ROBO1,ROBO1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10250,ROBO2,ROBO2,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10473,RUNX3,RUNX3,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10498,S100A8,S100A8,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10499,S100A9,S100A9,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10527,SALL3,SALL3,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10588,SCN2A,SCN2A,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10602,SCNN1G,SCNN1G,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10630,CCL4,CCL4,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10632,CCL5,CCL5,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10832,SH3GL3,SH3GL3,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10910,SLC12A1,SLC12A1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10912,SLC12A3,SLC12A3,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10916,SLC13A1,SLC13A1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10918,SLC14A1,SLC14A1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10919,SLC14A2,SLC14A2,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10929,SLC17A1,SLC17A1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10970,SLC22A6,SLC22A6,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10971,SLC22A7,SLC22A7,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:10972,SLC22A8,SLC22A8,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11019,SLC34A1,SLC34A1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11027,SLC4A1,SLC4A1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11035,SLC4A9,SLC4A9,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11037,SLC5A2,SLC5A2,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11068,SLC8A1,SLC8A1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11073,SLC9A3,SLC9A3,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11255,SPP1,SPP1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11509,SYT1,SYT1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11530,TACSTD2,TACSTD2,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11553,TAGLN,TAGLN,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11592,TBX1,TBX1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11724,TEK,TEK,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11809,TIE1,TIE1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11853,TM4SF1,TM4SF1,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:11935,CD40LG,CD40LG,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:12339,TRPM2,TRPM2,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:1241,C1QA,C1QA,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:12559,UMOD,UMOD,biolink:Gene,https://purl.humanatlas.io/collection/hra
HGNC:12663,VCAM1,VCAM1,biolink:Gene,https://purl.humanatlas.io/collection/hra
